timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682502433418,981,firstConfigurationRequest,200,OK,firstConfiguration 1-11,text,true,,231,155,336,336,http://localhost:8083/?token=490614703&user=2080841592&conf=1,981,0,1
1682502433407,992,firstConfigurationRequest,200,OK,firstConfiguration 1-7,text,true,,231,155,336,336,http://localhost:8083/?token=490614703&user=2080841592&conf=1,992,0,1
1682502433390,1009,firstConfigurationRequest,200,OK,firstConfiguration 1-2,text,true,,231,155,336,336,http://localhost:8083/?token=490614703&user=2080841592&conf=1,1009,0,2
1682502433397,1928,firstConfigurationRequest,200,OK,firstConfiguration 1-4,text,true,,231,155,644,644,http://localhost:8083/?token=490614703&user=2080841592&conf=1,1928,0,1
1682502433386,3943,firstConfigurationRequest,200,OK,firstConfiguration 1-1,text,true,,231,155,721,721,http://localhost:8083/?token=490614703&user=2080841592&conf=1,3943,0,4
1682502434902,4086,firstConfigurationRequest,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8083 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",firstConfiguration 1-506,text,false,,2630,0,720,720,http://localhost:8083/?token=490614703&user=2080841592&conf=1,0,0,4080
1682502434896,4092,firstConfigurationRequest,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8083 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",firstConfiguration 1-504,text,false,,2630,0,720,720,http://localhost:8083/?token=490614703&user=2080841592&conf=1,0,0,4086
1682502434920,4080,firstConfigurationRequest,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8083 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",firstConfiguration 1-512,text,false,,2630,0,718,718,http://localhost:8083/?token=490614703&user=2080841592&conf=1,0,0,4078
1682502434914,4085,firstConfigurationRequest,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8083 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",firstConfiguration 1-509,text,false,,2630,0,718,718,http://localhost:8083/?token=490614703&user=2080841592&conf=1,0,0,4084
1682502434917,4083,firstConfigurationRequest,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8083 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",firstConfiguration 1-510,text,false,,2630,0,718,718,http://localhost:8083/?token=490614703&user=2080841592&conf=1,0,0,4081
